col_0,col_1,col_2,col_3,col_4
,Tamis (mm),% Passants par profondeurs 1m,"% Passants par profondeurs 1,5m",% Passants par profondeurs 2m
,12.5,100,100,100
,10,100,100,100
,5,100,100,100
,2.5,99.93,100,99.99
,1.25,99.48,99.6,99.53
,0.63,91.92,92.58,93.1
,0.32,71.64,71.53,75.19
,0.16,52.24,51.32,58.95
,0.08,45.89,44.68,53.1
