Mh,w,Ms,col_3,col_4,col_5,col_6,col_7
700.14,3.17,678.63,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,0,0,0,100
,,,2.5,0.57,0.57,0.08,99.92
,,,1.25,7.25,7.82,1.15,98.85
,,,0.63,48.64,56.46,8.32,91.68
,,,0.315,111.99,168.45,24.82,75.18
,,,0.16,11.58,280.03,41.26,58.74
,,,0.08,57.64,337.67,49.76,50.24
,,,0.0623,,,,45.09
,,,0.0445,,,,43.23
,,,0.033,,,,40.58
,,,0.021,,,,36.97
,,,0.013,,,,33.37
