col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,0.0728,,,55
,,,,,,,0.0515,,,47.93
,,,,,,,0.0372,,,43.37
,,,,,,,0.0239,,,40.34
,,,,,,,0.0141,,,35.02
,,,,,,,0.0083,,,26.69
,,,,Analyse granulometroique,,,0.0052,,,26.66
,,,,par sedimentation,,,0.0037,,,23.91
,,,,,,,0.003,,,23.61
,,,,,,,0.0026,,,22.86
,,,,,,,0.0021,,,22.12
,,,,,,,0.0015,,,20.88
