col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,REFERENCE,QUARTIER,PROFONDEURS,VALEUR ABSOLUE
,,,,,1,Apeyeme,1,2.17
,,,,,,Apeyeme,1.5,2.27
,,,,,,Apeyeme,2,2.18
,,,,,2,DJOGBEKOPE,1,2.59
,,,,,,DJOGBEKOPE,1.5,2.57
,,,,,3,DJOGBEKOPE,2,2.6
,,,,,,BADOME,1,2.27
,,,,,,BADOME,1.5,2.4
,,,,,,BADOME,2,2.47
