id,echantillon_id,wl,wp,ip_generated,meta,created_at,ip_calculated
612e31ba-bb6a-4bad-ba2b-c8e5f261e904,aad16678-8f7e-4fbc-8749-c70c486ab4cd,19.8,12.08,7.72,{},2025-10-26 17:55:50.112000,7.720000000000001
b2e4f361-bd52-4518-ac48-6b2edf2f066e,749e1108-f46c-4d4f-98e8-a929476b3e65,36.8,13.48,23.32,{},2025-10-26 17:55:50.112000,23.319999999999997
22655bcb-624b-4bdf-9b6f-e40945cd3261,1de47a0e-97e7-4577-972a-d5301acbaf4d,32.31,13.17,19.14,{},2025-10-26 17:55:50.112000,19.14
518a2595-7d76-4ece-9d5c-4a3ce7da248f,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,29.65,12.29,17.36,{},2025-10-26 17:55:50.112000,17.36
cc305600-9878-4948-b212-49730c45939d,b32aff41-73e6-488d-85fc-98623e164280,41.2,13.41,27.79,{},2025-10-26 17:55:50.112000,27.790000000000003
2b26d48a-cc1f-42b8-805b-382a73aed155,40296bf0-750c-44b8-8470-bcd92ff7a782,39.1,13.65,25.45,{},2025-10-26 17:55:50.112000,25.450000000000003
668c7f80-f2b6-4759-a608-f1cbf3ecb645,222ca583-45a4-4d0d-911f-526119bfdccf,31.18,31.18,0,{},2025-10-26 17:55:50.112000,0.0
bc56902a-ed53-4e33-a49c-0e6af1bf8b8d,7567d11b-ea28-4fa7-86d9-64462f578857,29.5,29.5,0,{},2025-10-26 17:55:50.112000,0.0
ba74ac60-5f0d-4bba-a666-d0a6d9454ffb,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,37.4,29.5,7.9,{},2025-10-26 17:55:50.112000,7.899999999999999
1d3ec283-59ce-41bb-8bf9-4a4a8fc2522f,fe119abe-d9c7-4071-b443-962733ae84a6,32.91,11.93,20.98,{},2025-11-04 17:28:41.443000,20.979999999999997
2785de67-739f-445d-ab07-5a01687a1d4a,005c8476-afc3-4c13-a927-e35c140cc97e,37.87,12.12,25.75,{},2025-11-04 17:28:41.443000,25.75
278797cf-b624-42a2-bd65-831162946539,a2d4a2ac-bb9b-4d5b-9104-7e386f3a6d4c,43.38,13.37,30.01,{},2025-11-04 17:28:41.443000,30.010000000000005
9326f5b2-f72f-4a0b-851a-8aa3d808182a,87328ae8-7c09-4d94-9ff7-25a1efb843bd,45.04,11.28,33.76,{},2025-11-04 17:28:41.443000,33.76
ccc9a82f-2854-44df-82de-7cd74c68e416,33160590-27b1-46a9-afe6-b9ba157d0a47,47.91,9.91,38,{},2025-11-04 17:28:41.443000,38.0
e36ae474-edb5-42f0-9b0a-78674cef363f,b1218c34-96be-455d-a3df-a472ae235d5f,51.79,13.59,38.2,{},2025-11-04 17:28:41.443000,38.2
220450ec-84fb-4a1c-9a02-47e2061b28e5,710091e5-4a63-424f-9ad0-022b492b0f41,48.27,19.52,28.75,{},2025-11-04 17:28:41.443000,28.750000000000004
4ea34604-ae80-4bbd-a2ba-4b6c6f866428,50ad0ea6-e102-4835-980e-1f1763891498,53.93,20.48,33.45,{},2025-11-04 17:28:41.443000,33.45
28cc019e-c766-44a4-a34d-418acdf420c6,e7ffecdc-dc21-4d9e-903e-187cd70d6702,54.81,15.0,39.81,{},2025-11-04 17:28:41.443000,39.81
6ca9bb9d-324b-4438-856c-892b7126cce0,bed06df4-4114-4647-8cd6-b34784fa4940,43.2,20.73,22.47,{},2025-11-04 17:28:41.443000,22.470000000000002
2f94637c-a608-43a5-97da-439bfcf6b95c,ef063030-d846-4acf-b7de-f26efae87b2a,46.08,20.73,25.35,{},2025-11-04 17:28:41.443000,25.349999999999998
8582f117-1d18-4d93-b6ce-bba92a457b89,31b67dd6-1d1c-4878-bd65-d09700c559df,48.47,22.45,26.02,{},2025-11-04 17:28:41.443000,26.02
2d4946a9-8bc0-4361-9150-07550afa07e5,03f80369-f8be-4642-b44e-a2b2b97faf1d,28.3,8.0,20.3,{},2025-11-04 17:28:41.443000,20.3
6d5eb606-2b24-4f23-9448-1575c1a2947b,2d25f928-0cb4-4323-9860-e17d6f09e3ff,29.86,12.0,17.86,{},2025-11-04 17:28:41.443000,17.86
65f6695f-a3d4-4778-9c15-3c92443e7765,45d8604b-f550-475a-9189-789c05f4346c,32.99,10.78,22.21,{},2025-11-04 17:28:41.443000,22.21
