col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,Localite/Caton,Profondeur,Classification HBR,Classification unifié,Classification d'après le bleu de Métyléne
,,ANIE,1,A-7-6,Sol fin et plasticité moyenne,sol argileux
,,ANIE,1.5,A-6,sol fin et faible plasticité,sol limoneu argileux
,,ANIE,2,A-2-6,sol grenu faible plasticité,sol limoneu argileux
,,NYAMASSILA,1,A-6,Sol fin argile de plasticité faible,sol limoneu argileux
,,,1.5,A-6,sol fin un silt-argile de platicité faible,sol limoneu argileux
,,,2,A-6,Sol fin un silt-argile de plasticité moyenne,sol argileux
