col_0,col_1,col_2,col_3,col_4
,,Canton,Profondeur,Valeur du poids specifiques
,,ANIE,1,2.53
,,ANIE,1.5,2.6
,,ANIE,2,2.63
,,,Moyenne,2.59
,,NYAMASSILA,1,2.63
,,NYAMASSILA,1.5,2.62
,,NYAMASSILA,2,2.62
,,,Moyenne,2.62
