col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Localité/caton ,Profondeur,Limite de liquidité Wl à 25 coups,indice de plasticité
,,,ANIE,1,61.56,37.45
,,,ANIE,1.5,35.08,14
,,,ANIE,2,24.19,6.69
,,,,Moyenne,40.27,19.38
,,,NYAMASSILA,1,52.59,27.11
,,,NYAMASSILA,1.5,53.48,29.25
,,,NYAMASSILA,2,52.01,30.51
,,,,Moyenne,52.69,28.95
