col_0,col_1,col_2,col_3,col_4,col_5
,,Ouvertuure du tamis ,Passants par profondeur  1m,Passants par profondeur 1.5m,Passants par profondeur 2m
,,31.5,100,100,100
,,20,0,90.55,100
,,10,100,73.35,100
,,5,96.74,69.66,91.59
,,2.5,88.61,65.15,82.98
,,1.25,81.78,60.09,66.45
,,0.63,78.81,57.09,53.07
,,0.315,75.9,54.02,43.1
,,0.16,71.54,46.97,34.05
,,0.08,63.74,44.92,32025
