col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,Localité/caton ,Profondeur,Limite de liquidité,Teneur en eau  naturel,indice de consistance
,,ANIE,1,61.56,18.7,1.47
,,ANIE,1.5,35.08,6.09,2.25
,,ANIE,2,24.19,9.15,3.3
,,,Moyenne,40.27,11.51,2.34
,,NYAMASSILA,1,67.58,5.24,1.51
,,NYAMASSILA,1.5,70,3.3,1.55
,,NYAMASSILA,2,53,4.79,1.53
,,,Moyenne,63.52,4.44,1.53
