col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,Refernce,Localite/Cantons,Profondeurs,VBS,Caracteristique
,,,Anié,1,8,Sol argileux
,,,Anié,1.5,4.8,Sol limoneux aegileux
,,,Anié,2,2,Sol limoneux aegileux
,,,Anié,Moyenne,4.93,Sol limoneux aegileux
,,,Nyamassila,1,2,Sol limoneux aegileux
,,,Nyamassila,1.5,2,Sol limoneux aegileux
,,,Nyamassila,2,7.33,Sol argileux
,,,Nyamassila,Moyenne,3.77,sol limoneux argileux
