col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tableau A-2-3 : Analyse granulométrique par tamisage de l'argile bohou (2m),,,,,,
,,Analyse granulométrique par tamisage,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,25,0,0,0,100
,,,20,45.43,45.43,3.43,96.57
,,,16,0,45.43,0,96.57
,,,12.5,18.69,64.12,1.41,95.16
,,,10,19.02,83.14,1.44,93.72
,,,8,43.45,126.59,3.28,90.44
,,,6.3,59.21,185.8,4.47,85.97
,,,5,51.38,237.18,3.88,82.09
,,,4,35.46,272.64,2.68,79.42
,,,3.15,54.28,326.92,4.1,75.32
,,,2.5,53.9,380.82,4.07,71.25
,,,2,48.83,429.65,3.69,67.56
,,,1.6,35.8,465.45,2.7,64.86
,,,1.25,23.49,488.94,1.77,63.09
,,,1,12.59,501.53,0.95,62.13
,,,0.8,11.53,513.06,0.87,61.26
,,,0.63,11.43,524.49,0.86,60.4
,,,0.5,16.87,541.36,1.27,59.13
,,,0.4,16.3,557.66,1.23,57.9
,,,0.315,23.06,580.72,1.74,56.16
,,,0.25,22.22,602.94,1.68,54.48
,,,0.2,38.58,641.52,2.91,51.57
,,,0.16,27.03,668.55,2.04,49.52
,,,0.125,45.48,714.03,3.43,46.09
,,,0.1,24.37,738.4,1.84,44.25
,,,0.08,15.96,754.36,1.2,43.05
