col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tableau A-2-4: Analyse granulométrique par tamisage de l'argile DE Lama Feing (1m),,,,,,
,,Analyse granulométrique par tamisage,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,10,0,0,0,100
,,,8,3.96,3.96,0.27,99.73
,,,6.3,4.49,8.53,0.31,99.42
,,,5,3.2,11.73,0.22,99.2
,,,4,10.77,22.58,0.74,98.46
,,,3.15,26.17,48.86,1.79,96.67
,,,2.5,34.1,83.05,2.34,94.33
,,,2,39.69,122.76,2.72,91.62
,,,1.6,35.2,157.92,2.41,89.2
,,,1.25,24.95,182.92,1.71,87.49
,,,1,14.99,198.08,1.03,86.47
,,,0.8,11.52,209.7,0.79,85.68
,,,0.63,8.75,218.49,0.6,85.08
,,,0.5,11.17,229.82,0.77,84.31
,,,0.4,10.06,239.9,0.69,83.62
,,,0.315,13.27,253.22,0.91,82.71
,,,0.25,14.08,267.33,0.96,81.75
,,,0.2,20.75,288.21,1.42,80.33
,,,0.16,19.75,307.92,1.35,78.98
,,,0.125,28.32,336.21,1.94,77.04
,,,0.1,20.56,356.68,1.41,75.63
,,,0.08,15.05,371.67,1.03,74.6
