col_0,col_1,col_2,col_3,col_4,col_5
,,,% Passant,,
,,Tamis (mm),Tamis 1m,"Tamis 1,5",Tamis 2m
,,16,100,100,100
,,12.5,99.26,100,100
,,8,97.63,100,100
,,6.3,96.15,99.72,100
,,5,94.45,99.52,99.95
,,3.15,91.54,99.2,99.63
,,2.5,90.52,98.79,99.5
,,1,88.88,97.31,98.51
,,0.8,88.67,96.95,97.61
,,0.63,88.49,96.61,96.59
,,0.4,87.68,96.65,94.22
,,0.315,85.26,94.2,66.09
,,0.25,80.02,90.96,94.22
,,0.16,49.22,71.38,66.09
,,0.15,16.77,34.14,20.74
,,0.1,6.87,13.91,9.76
,,0.08,1.73,2.7,3.41
,,MF,0.51,1.37,1.92
