col_0,col_1,col_2,col_3,col_4,col_5
,N,Localité,1,1.5,2
,1,Abobo,36.22,36.88,42.8
,2,Adétikopé,53.18,54.24,30.07
,3,Apéhéme,62.56,64.05,63.99
,4,Belgique,35.37,,42.25
,5,Dalavé,69.31,56.71,67.3
,6,Dikamé,66.59,62.84,61.54
,7,Djagblé,52.9,61.37,53.84
,8,Dzogbékopé,63.67,65.35,40.1
,9,Gbatopé,38.5,39.51,38.18
,10,Hahotoé,37.66,40.46,42.63
,11,Kovié,80.08,88.79,80.58
,12,Mission tové,47.01,50.04,56.37
,13,Sevagan ,39,57.02,64.32
,14,Srikpui (Togblécopé),67.89,78.3,74.15
,15,Tekpo,45.89,44.68,53.1
,16,Wli,55.11,58.96,66.42
,17,Zongo 1,74.98,74.92,74.73
,18,Zongo 2,74.98,81.1,76.82
