col_0,col_1,col_2,col_3,col_4
N,Localité,1,1.5,2
1,Aképé,33.71,32.88,33.44
2,Assahoun,43.04,25.7,24.02
3,Badja,48.67,25.93,43.17
4,Kevé,69.79,57.32,36.66
5,Tovégan ,38.5,42.28,44.24
6,Tsévié blévé,42.66,43.52,48.1
7,Tsévié dalavémodji,43.01,47.47,53.44
8,Tsévié dévé,53.55,58.15,61.86
