col_0,col_1,col_2,col_3,col_4,col_5
,N,Localités,1,1.5,2
,1,Katore,58.49,65.13,52.58
,2,Kpadapé,60.36,51.76,53.47
,3,Kpimé (Séva),26.82,29.53,24.53
,4,Kpimé (Tomégbé),41.46,42.86,32.27
,5,Kpiné (Woumé),49.98,53.74,51.26
,6,Kpodzi,69.31,56.71,67.3
,7,Lavié Apédomé,52.9,61.37,53.84
,8,Womé (Cascade),64.47,63.83,65.5
,9,Womé (Ville),64.43,67.68,65.12
,10,Womé (Zongo),64.2,65.09,65.55
,11,Zomayi,53.12,60.37,68.09
