col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,LOCALITE,PROFONDEUR,WL,WP,IP
,,Konsogou T1,1m,23,10.48,12.52
,,Konsogou T1,"1,5m",32,12.52,19.48
,,Konsogou T1,2m,31,19.56,11.44
,,Konsogou T2,1m,27.8,12.89,14.92
,,Konsogou T2,"1,5m",20.6,13.81,6.79
,,Konsogou T2,2m,25,19.81,5.19
,,Nassablé,1m,27.9,15.77,12.14
,,Nassablé,"1,5m",20.6,14.26,6.34
,,Nassablé,2m,28,15.96,12.04
,,Kontongbongue,1m,64,19.44,44.57
,,Kontongbongue,"1,5m",47.2,27.92,19.28
,,Kontongbongue,2m,38.75,29.89,8.86
