col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,AGT KONTONGBONGUE  (2m),,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,0,0,100
,,,,,20,0,0,100
,,,,,16,0,0,100
,,,,,12.5,0,0,100
,,,,,10,0,0,100
,,,,,8,0.17,0.01,99.99
,,,,,6.3,1.7,0.1,99.89
,,,,,5,3.11,0.09,99.79
,,,,,4,6.11,0.2,99.59
,,,,,3.15,13.03,0.46,99.13
,,,,,2.5,24.38,0.76,98.37
,,,,,2,44.06,1.31,97.06
,,,,,1.6,76.09,2.14,94.92
,,,,,1.25,127.36,3.42,91.5
,,,,,1,183,3.71,87.79
,,,,,0.8,242.5,3.97,83.82
,,,,,0.63,304.18,4.12,79.7
,,,,,0.5,382.02,5.19,74.51
,,,,,0.4,438.09,3.74,70.77
,,,,,0.315,499.97,4.13,66.64
,,,,,0.25,552.15,3.48,63.16
,,,,,0.2,623.32,475,58.41
,,,,,0.16,685.98,4.18,54.23
,,,,,0.125,737.6,3.44,50.79
,,,,,0.1,754.12,1.1,49.68
,,,,,0.08,765.36,0.75,48.93
